eps,min point,Silhouette Score,Num cluster,Len cluster,Noise,Execution Time (s)
0.3,4,-0.21246280323811093,9,"[(-1, 719), (1, 4), (2, 9), (3, 11), (4, 11), (5, 7), (6, 4), (7, 84), (8, 23), (9, 9)]",727,10.421127080917358
0.3,6,-0.20879346705673013,6,"[(-1, 756), (1, 11), (2, 7), (3, 7), (4, 78), (5, 16), (6, 6)]",768,10.15599799156189
0.3,8,-0.19098778052553889,3,"[(-1, 787), (1, 10), (2, 74), (3, 10)]",799,9.827703714370728
0.3,10,-0.19573073819531833,3,"[(-1, 791), (1, 10), (2, 70), (3, 10)]",808,9.837316036224365
0.3,12,-0.006603231819999995,1,"[(-1, 816), (1, 65)]",816,9.632466554641724
0.3,14,-0.01990795214134862,1,"[(-1, 826), (1, 55)]",826,9.58750057220459
0.3,16,-0.026982606620298045,1,"[(-1, 830), (1, 51)]",832,9.66019868850708
0.3,18,-0.051312296206600126,1,"[(-1, 849), (1, 32)]",865,9.352542400360107
0.3,20,0.0,0,"[(-1, 881)]",881,9.409313201904297
0.4,4,-0.09952556453183967,14,"[(-1, 445), (1, 204), (2, 44), (3, 23), (4, 93), (5, 7), (6, 4), (7, 5), (8, 13), (9, 7), (10, 5), (11, 19), (12, 4), (13, 3), (14, 5)]",464,11.623307228088379
0.4,6,-0.1489478381878294,9,"[(-1, 527), (1, 175), (2, 44), (3, 22), (4, 6), (5, 72), (6, 11), (7, 6), (8, 6), (9, 12)]",537,11.14102554321289
0.4,8,-0.04396944925637739,5,"[(-1, 590), (1, 153), (2, 44), (3, 21), (4, 62), (5, 11)]",598,10.783503770828247
0.4,10,-0.06985465354631219,5,"[(-1, 626), (1, 125), (2, 43), (3, 19), (4, 58), (5, 10)]",636,10.539046049118042
0.4,12,-0.08067672761252312,4,"[(-1, 658), (1, 108), (2, 43), (3, 19), (4, 53)]",663,10.444602251052856
0.4,14,-0.10447648285933163,4,"[(-1, 676), (1, 34), (2, 14), (3, 107), (4, 50)]",696,10.305590629577637
0.4,16,-0.11029415538082654,3,"[(-1, 702), (1, 32), (2, 106), (3, 41)]",729,10.124411821365356
0.4,18,-0.1166673963910098,3,"[(-1, 707), (1, 27), (2, 106), (3, 41)]",731,10.184562921524048
0.4,20,-0.1242650747150178,3,"[(-1, 712), (1, 22), (2, 106), (3, 41)]",734,10.125450849533081
0.5,4,0.07691789653605074,5,"[(-1, 128), (1, 364), (2, 373), (3, 9), (4, 4), (5, 3)]",134,13.264251708984375
0.5,6,0.11192239797394035,3,"[(-1, 164), (1, 356), (2, 354), (3, 7)]",165,13.154699563980103
0.5,8,0.19256401676893484,2,"[(-1, 196), (1, 350), (2, 335)]",196,12.949753522872925
0.5,10,0.17733123704153872,2,"[(-1, 223), (1, 345), (2, 313)]",223,12.806905031204224
0.5,12,0.1490245452764001,3,"[(-1, 255), (1, 276), (2, 56), (3, 294)]",259,12.576857089996338
0.5,14,0.048389643539437435,4,"[(-1, 278), (1, 272), (2, 56), (3, 269), (4, 6)]",285,12.488897323608398
