eps,min point,Silhouette Score,Num cluster,Len cluster,Noise,Execution Time (s)
0.3,4,0.09735640961031439,7,"[(-1, 67), (1, 727), (2, 58), (3, 6), (4, 5), (5, 4), (6, 4), (7, 10)]",68,17.7053701877594
0.3,6,-0.004531844573006203,6,"[(-1, 116), (1, 659), (2, 49), (3, 6), (4, 10), (5, 36), (6, 5)]",117,16.972919940948486
0.3,8,0.07273026459725922,7,"[(-1, 178), (1, 625), (2, 14), (3, 14), (4, 13), (5, 10), (6, 20), (7, 7)]",185,16.795047521591187
0.3,10,-0.023155518781579083,5,"[(-1, 229), (1, 602), (2, 10), (3, 12), (4, 10), (5, 18)]",234,16.576739072799683
0.3,12,0.3260774937361881,1,"[(-1, 303), (1, 578)]",303,15.96033787727356
0.3,14,0.31568148347797104,1,"[(-1, 314), (1, 567)]",314,15.758435726165771
0.3,16,0.29594431664357257,1,"[(-1, 328), (1, 553)]",328,15.703171968460083
0.3,18,0.281128817864029,1,"[(-1, 339), (1, 542)]",340,15.62141489982605
0.3,20,0.013471707755702915,2,"[(-1, 351), (1, 510), (2, 20)]",352,15.387160062789917
0.4,4,0.20411954704568508,5,"[(-1, 21), (1, 779), (2, 68), (3, 4), (4, 4), (5, 5)]",26,17.70150637626648
0.4,6,0.33848789894557635,3,"[(-1, 49), (1, 756), (2, 68), (3, 8)]",49,17.416976928710938
0.4,8,0.22246293664811734,3,"[(-1, 71), (1, 738), (2, 67), (3, 5)]",72,17.586703538894653
0.4,10,0.19983654312040836,3,"[(-1, 86), (1, 723), (2, 64), (3, 8)]",86,17.29121446609497
0.4,12,0.32122765069921133,3,"[(-1, 118), (1, 678), (2, 59), (3, 26)]",119,17.031455039978027
0.4,14,0.08607029255547988,5,"[(-1, 154), (1, 653), (2, 17), (3, 27), (4, 21), (5, 9)]",165,16.716628789901733
0.4,16,0.26219702347985874,2,"[(-1, 218), (1, 646), (2, 17)]",219,16.398464679718018
0.4,18,0.36923075421457574,1,"[(-1, 260), (1, 621)]",260,16.10723876953125
0.4,20,0.35591679005333987,1,"[(-1, 273), (1, 608)]",273,15.975162506103516
0.5,4,0.21043520584032469,2,"[(-1, 10), (1, 867), (2, 4)]",12,18.05564522743225
0.5,6,0.34952949310373654,1,"[(-1, 16), (1, 865)]",16,17.93076205253601
0.5,8,0.3324811445544156,1,"[(-1, 28), (1, 853)]",28,17.781912326812744
0.5,10,0.18315761514516637,4,"[(-1, 40), (1, 757), (2, 69), (3, 7), (4, 8)]",47,17.63649034500122
0.5,12,0.4156541996490618,2,"[(-1, 60), (1, 755), (2, 66)]",60,17.632124185562134
0.5,14,0.40511109811369617,2,"[(-1, 72), (1, 743), (2, 66)]",72,16.973304510116577
0.5,16,0.3588990665981431,3,"[(-1, 84), (1, 696), (2, 64), (3, 37)]",85,17.191932439804077
0.5,18,0.3482471898575411,3,"[(-1, 97), (1, 689), (2, 62), (3, 33)]",98,17.06042170524597
0.5,20,0.2749900913670952,4,"[(-1, 141), (1, 677), (2, 24), (3, 14), (4, 25)]",171,16.865111112594604
0.6,4,0.37044911268016006,1,"[(-1, 5), (1, 876)]",5,18.017977714538574
0.6,6,0.3461453977291747,1,"[(-1, 10), (1, 871)]",10,17.940738439559937
0.6,8,0.3709012494607115,1,"[(-1, 12), (1, 869)]",12,18.047884464263916
0.6,10,0.3442943241030869,1,"[(-1, 18), (1, 863)]",18,17.959309816360474
0.6,12,0.33727939346455077,1,"[(-1, 21), (1, 860)]",21,17.828437089920044
0.6,14,0.4299188271378955,2,"[(-1, 31), (1, 770), (2, 80)]",31,17.81177592277527
0.6,16,0.42898301857921034,2,"[(-1, 39), (1, 768), (2, 74)]",39,17.949689865112305
0.6,18,0.4260118275716855,2,"[(-1, 48), (1, 761), (2, 72)]",48,17.64271855354309
0.6,20,0.4213516597320612,2,"[(-1, 58), (1, 756), (2, 67)]",58,17.418662309646606
0.7,4,0.3964743494130983,1,"[(-1, 3), (1, 878)]",3,17.984158515930176
0.7,6,0.3897016136476736,1,"[(-1, 6), (1, 875)]",6,18.026057958602905
0.7,8,0.3897016136476736,1,"[(-1, 6), (1, 875)]",6,17.867932319641113
0.7,10,0.37334474473334905,1,"[(-1, 7), (1, 874)]",7,18.11094570159912
0.7,12,0.3641258444126221,1,"[(-1, 8), (1, 873)]",8,17.98886013031006
0.7,14,0.364454711539762,1,"[(-1, 13), (1, 868)]",13,17.955034732818604
0.7,16,0.3509567631412595,1,"[(-1, 15), (1, 866)]",15,18.01502823829651
0.7,18,0.4382781943936772,2,"[(-1, 21), (1, 784), (2, 76)]",21,17.906715393066406
0.7,20,0.4508642666368819,2,"[(-1, 27), (1, 776), (2, 78)]",27,17.857556104660034
0.8,4,0.3964743494130983,1,"[(-1, 3), (1, 878)]",3,18.213551998138428
0.8,6,0.41319564009349224,1,"[(-1, 4), (1, 877)]",4,18.116297245025635
0.8,8,0.41319564009349224,1,"[(-1, 4), (1, 877)]",4,18.18449091911316
0.8,10,0.41319564009349224,1,"[(-1, 4), (1, 877)]",4,18.188343286514282
0.8,12,0.41319564009349224,1,"[(-1, 4), (1, 877)]",4,18.142709732055664
0.8,14,0.3928804377863454,1,"[(-1, 5), (1, 876)]",5,18.022833824157715
0.8,16,0.4074278856687085,1,"[(-1, 7), (1, 874)]",7,17.938491821289062
0.8,18,0.37520575322677013,1,"[(-1, 9), (1, 872)]",9,17.97572422027588
0.8,20,0.3723849684034783,1,"[(-1, 10), (1, 871)]",10,18.099562168121338
