eps,min point,Silhouette Score,Num cluster,Len cluster,Noise,Execution Time (s)
0.3,4,-0.21578821049482447,9,"[(-1, 765), (1, 4), (2, 12), (3, 5), (4, 4), (5, 4), (6, 73), (7, 3), (8, 4), (9, 7)]",776,12.210474729537964
0.3,6,-0.10452575790408569,2,"[(-1, 802), (1, 11), (2, 68)]",804,10.685896873474121
0.3,8,-0.11819567643775523,2,"[(-1, 816), (1, 9), (2, 56)]",824,10.785599708557129
0.3,10,-0.14451616006279716,3,"[(-1, 827), (1, 21), (2, 19), (3, 14)]",841,10.400176286697388
0.3,12,-0.1541072503517424,1,"[(-1, 865), (1, 16)]",875,10.07216501235962
0.3,14,-0.15957183643878434,1,"[(-1, 867), (1, 14)]",878,10.166213750839233
0.3,16,0.0,0,"[(-1, 881)]",881,10.046629190444946
0.3,18,0.0,0,"[(-1, 881)]",881,10.367315769195557
0.3,20,0.0,0,"[(-1, 881)]",881,10.978490114212036
0.4,4,-0.143047204121126,12,"[(-1, 477), (1, 74), (2, 256), (3, 4), (4, 5), (5, 10), (6, 4), (7, 4), (8, 30), (9, 6), (10, 3), (11, 4), (12, 4)]",500,13.233318567276001
0.4,6,-0.10091489530047872,8,"[(-1, 552), (1, 64), (2, 6), (3, 219), (4, 6), (5, 5), (6, 14), (7, 6), (8, 9)]",567,12.674086332321167
0.4,8,-0.062382109207363756,4,"[(-1, 627), (1, 58), (2, 176), (3, 12), (4, 8)]",647,11.484407663345337
0.4,10,-0.014385944437241852,3,"[(-1, 679), (1, 32), (2, 15), (3, 155)]",691,11.08768630027771
0.4,12,-0.02479637686958872,3,"[(-1, 693), (1, 29), (2, 10), (3, 149)]",705,11.411970138549805
0.4,14,-0.04778099469955487,2,"[(-1, 730), (1, 15), (2, 136)]",738,11.10142207145691
0.4,16,-0.007835002162275699,1,"[(-1, 746), (1, 135)]",751,11.105178594589233
0.4,18,-0.008589972346438273,1,"[(-1, 748), (1, 133)]",753,11.024100303649902
0.4,20,-0.013926142958590217,1,"[(-1, 753), (1, 128)]",758,10.947208166122437
0.5,4,0.09484747513668192,1,"[(-1, 99), (1, 782)]",99,15.023826360702515
0.5,6,0.09291940813534139,1,"[(-1, 123), (1, 758)]",123,14.513384342193604
0.5,8,0.08478100178784097,1,"[(-1, 155), (1, 726)]",155,14.57831859588623
0.5,10,0.08134475192778029,1,"[(-1, 190), (1, 691)]",190,14.31258249282837
0.5,12,0.07972197401618891,1,"[(-1, 227), (1, 654)]",227,15.067778587341309
0.5,14,0.07457590357222176,1,"[(-1, 251), (1, 630)]",251,13.798140287399292
0.5,16,0.1052433927167411,2,"[(-1, 291), (1, 509), (2, 81)]",293,13.4451584815979
0.5,18,0.09000015999379285,3,"[(-1, 318), (1, 460), (2, 84), (3, 19)]",325,14.041305541992188
0.5,20,0.10375465956554505,2,"[(-1, 358), (1, 441), (2, 82)]",360,317.85316729545593
0.6,4,0.18303717512607676,1,"[(-1, 15), (1, 866)]",15,15.614753484725952
0.6,6,0.17896641872201688,1,"[(-1, 16), (1, 865)]",16,17.524796962738037
0.6,8,0.17532210729189865,1,"[(-1, 17), (1, 864)]",17,15.932538747787476
0.6,10,0.17349181270146677,1,"[(-1, 22), (1, 859)]",22,14.768672704696655
0.6,12,0.1684684485377842,1,"[(-1, 24), (1, 857)]",24,14.73114824295044
0.6,14,0.1690424984884855,1,"[(-1, 25), (1, 856)]",25,14.507318258285522
0.6,16,0.16461708701178365,1,"[(-1, 34), (1, 847)]",34,15.390697479248047
0.6,18,0.15853463168586862,1,"[(-1, 46), (1, 835)]",46,14.524348735809326
0.6,20,0.15498170378875537,1,"[(-1, 52), (1, 829)]",52,13.732001781463623
0.7,4,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.334673166275024
0.7,6,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,15.750884056091309
0.7,8,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,19.010663747787476
0.7,10,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.980473518371582
0.7,12,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.483470439910889
0.7,14,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.221575021743774
0.7,16,0.27288519174925835,1,"[(-1, 3), (1, 878)]",3,14.185619115829468
0.7,18,0.27288519174925835,1,"[(-1, 3), (1, 878)]",3,14.331281661987305
0.7,20,0.27288519174925835,1,"[(-1, 3), (1, 878)]",3,14.203516483306885
0.8,4,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.899425983428955
0.8,6,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.497672319412231
0.8,8,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.483694076538086
0.8,10,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,15.188882827758789
0.8,12,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,15.631127119064331
0.8,14,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,16.97290539741516
0.8,16,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,15.37778902053833
0.8,18,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,14.967584609985352
0.8,20,0.31067395486655397,1,"[(-1, 2), (1, 879)]",2,15.980792999267578
